bits,P,Q,P_guess,err_pct,P_found,Q_found,wall_s,status
8,223,233,215,3.587,223,233,0.28,OK
10,787,853,757,3.812,787,853,0.25,OK
12,3221,3407,3036,5.744,3221,3407,0.23,OK
14,10909,15451,11668,6.958,10909,15451,0.23,OK
16,34781,45481,36820,5.862,34781,45481,0.25,OK
18,132887,173291,136685,2.858,132887,173291,0.24,OK
20,567143,963031,572711,0.982,567143,963031,0.25,OK
22,3196021,3753859,3040731,4.859,3196021,3753859,0.24,OK
24,11514337,12488881,11205466,2.682,11514337,12488881,0.31,OK
26,33892043,37436219,33663121,0.675,33892043,37436219,0.23,OK
28,152372849,187549421,152618646,0.161,152372849,187549421,0.28,OK
30,1041315439,1062035731,1048019893,0.644,1041315439,1062035731,0.28,OK
32,2575070249,3053314531,2617131451,1.633,2575070249,3053314531,0.25,OK
34,8956187813,9132646949,8811649170,1.614,8956187813,9132646949,0.24,OK
36,63064984651,63377846647,62205807558,1.362,63064984651,63377846647,0.87,OK
38,166246909991,209411522363,176050697314,5.897,166246909991,209411522363,3.03,OK
40,836462244509,1044522697663,882808504323,5.541,836462244509,1044522697663,7.41,OK
42,2882307088433,3298033413607,2745310953509,4.753,2882307088433,3298033413607,13.87,OK
44,12888202082551,12993089233909,12334378959231,4.297,12888202082551,12993089233909,31.82,OK
46,52999865263393,64242328665149,52144634432978,1.614,52999865263393,64242328665149,26.41,OK
48,179091377259791,271340662017907,188616894666589,5.319,179091377259791,271340662017907,168.89,OK
50,573858364692161,726223323360389,579338855570432,0.955,573858364692161,726223323360389,60.62,OK
52,2630498416022537,4278674432379287,2629689282774621,0.031,2630498416022537,4278674432379287,4.62,OK
