N,n_p,n_q,qubo_vars,time_seconds
44747,8,8,246,0.004
651317,10,10,655,0.01
9487301,12,12,1229,0.019
152970749,14,14,1964,0.028
2419073291,16,16,3219,0.042
38742801443,18,18,4661,0.067
619180075169,20,20,6554,0.088
9896411050073,22,22,8694,0.127
158345780576261,24,24,11077,0.144
2533609800106283,26,26,14009,0.288
40533427438682117,28,28,17465,0.315
648519170979004421,30,30,21555,0.309
10376326526812028933,32,32,26239,0.43
680020841087224881610907,40,40,50693,0.895
713053465174029721048537106293,50,50,97417,1.768
191408831398192416799542252263807394767,64,64,200968,4.452
